date,state,positive,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,dataqualitygrade,lastupdateet,datemodified,checktimeet,death,hospitalized,datechecked,totaltestsviral,positivetestsviral,negativetestsviral,positivecasesviral,fips,positiveincrease,negativeincrease,total,totaltestresults,totaltestresultsincrease,posneg,deathincrease,hospitalizedincrease,hash,commercialscore,negativeregularscore,negativescore,positivescore,score,grade
20200316,MP,0,,,,,,,,,,,3/16/2020 15:55,2020-03-16T15:55:00Z,03/16 11:55,,,2020-03-16T15:55:00Z,,,,,69,0,0,0,0,0,0,0,0,8fd34d0fef5d0833c358d29b218ba3806f902017,0,0,0,0,0,
20200317,MP,0,,,,,,,,,,,3/17/2020 01:30,2020-03-17T01:30:00Z,03/16 21:30,,,2020-03-17T01:30:00Z,,,,,69,0,0,0,0,0,0,0,0,c6d78e105a10aab4cccd3be8da31f07051337545,0,0,0,0,0,
20200318,MP,0,,,,,,,,,,,3/18/2020 03:30,2020-03-18T03:30:00Z,03/17 23:30,0,,2020-03-18T03:30:00Z,,,,,69,0,0,0,0,0,0,0,0,8ffb0d330029f2489eb904a3701708a9aa7b3555,0,0,0,0,0,
20200319,MP,0,,,,,,,,,,,3/19/2020 01:30,2020-03-19T01:30:00Z,03/18 21:30,0,,2020-03-19T01:30:00Z,,,,,69,0,0,0,0,0,0,0,0,73b6435035b1f2e4eba95f3de457cdbaa187c25a,0,0,0,0,0,
20200320,MP,0,,,,,,,,,,,3/20/2020 01:30,2020-03-20T01:30:00Z,03/19 21:30,0,,2020-03-20T01:30:00Z,,,,,69,0,0,0,0,0,0,0,0,b942756ab4d054ce9a540b663ff80e0c78de52ab,0,0,0,0,0,
20200321,MP,0,,,,,,,,,,,3/21/2020 02:30,2020-03-21T02:30:00Z,03/20 22:30,0,,2020-03-21T02:30:00Z,,,,,69,0,0,0,0,0,0,0,0,bd96f25c4109962042041ab06978a914f1a8d26c,0,0,0,0,0,
20200322,MP,0,,,,,,,,,,,3/22/2020 01:30,2020-03-22T01:30:00Z,03/21 21:30,0,,2020-03-22T01:30:00Z,,,,,69,0,0,0,0,0,0,0,0,7c3dc42c42cf5a9cf9b8f478ecc5a881dfd732ea,0,0,0,0,0,
20200323,MP,0,,,,,,,,,,,3/23/2020 01:30,2020-03-23T01:30:00Z,03/22 21:30,0,,2020-03-23T01:30:00Z,,,,,69,0,0,0,0,0,0,0,0,0f84d87f770bb7030555977d7e82d7b67ecd4423,0,0,0,0,0,
20200324,MP,0,,,,,,,,,,,3/23/2020 01:30,2020-03-23T01:30:00Z,03/22 21:30,0,,2020-03-23T01:30:00Z,,,,,69,0,0,0,0,0,0,0,0,1e927b64cc405e23e2e6c19478449f7b3fd9d33b,0,0,0,0,0,
20200325,MP,0,,,,,,,,,,,3/24/2020 18:30,2020-03-24T18:30:00Z,03/24 14:30,0,,2020-03-24T18:30:00Z,,,,,69,0,0,0,0,0,0,0,0,a6144f6b83c073a3b2c653de96f7cc0781f834b5,0,0,0,0,0,
